datetimeFC,forecast,p_battery,p_net_demand,soc_battery,pb_nom,pb_discharge_max,pb_charge_max,delta_t,soc_min,soc_max,efficiency,soc_ini,p_net_threshold,mpc_window
2021-07-23 21:30:00+00:00,2.7578845215000003,-0.47383086160000004,2.2840536599,0.2902400334,15,4,6,0.25,0.1,0.9,1,0.2902400334,5,96
2021-07-23 21:45:00+00:00,2.8912861328,-0.6100986584,2.2811874744000002,0.2823428523,15,4,6,0.25,0.1,0.9,1,0.2823428523,5,96
2021-07-23 22:00:00+00:00,2.9686894531,-0.6967600647000001,2.2719293884000002,0.2823428523,15,4,6,0.25,0.1,0.9,1,0.2823428523,5,96
2021-07-23 22:15:00+00:00,3.0133288574,-0.7441475423,2.2691813151,0.27073018460000003,15,4,6,0.25,0.1,0.9,1,0.27073018460000003,5,96
2021-07-23 22:30:00+00:00,2.4086914062,-0.142219708,2.2664716982,0.2583277256,15,4,6,0.25,0.1,0.9,1,0.2583277256,5,96
2021-07-23 22:45:00+00:00,2.4056647949,-0.14181581740000002,2.2638489775,0.2559573971,15,4,6,0.25,0.1,0.9,1,0.2559573971,5,96
2021-07-23 23:00:00+00:00,2.3772473145,-0.11615647970000001,2.2610908348,0.2535938001,15,4,6,0.25,0.1,0.9,1,0.2535938001,5,96
2021-07-23 23:15:00+00:00,3.0455966797,-0.7883422485,2.2572544312,0.2535938001,15,4,6,0.25,0.1,0.9,1,0.2535938001,5,96
2021-07-23 23:30:00+00:00,3.1546811523000002,-0.8995802206,2.2551009317,0.24045476270000002,15,4,6,0.25,0.1,0.9,1,0.24045476270000002,5,96
2021-07-23 23:45:00+00:00,3.1791306152,-0.9263860852,2.25274453,0.225461759,15,4,6,0.25,0.1,0.9,1,0.225461759,5,96
2021-07-24 00:00:00+00:00,2.8414382324,-0.5909577875,2.2504804449,0.2100219909,15,4,6,0.25,0.1,0.9,1,0.2100219909,5,96
2021-07-24 00:15:00+00:00,2.7797023926,-0.5376828327000001,2.2420195599,0.2100219909,15,4,6,0.25,0.1,0.9,1,0.2100219909,5,96
2021-07-24 00:30:00+00:00,2.2526728516,-0.0180697449,2.2346031067,0.2100219909,15,4,6,0.25,0.1,0.9,1,0.2100219909,5,96
2021-07-24 00:45:00+00:00,2.2951838379,-0.05667712900000001,2.2385067089,0.2010606104,15,4,6,0.25,0.1,0.9,1,0.2010606104,5,96
2021-07-24 01:00:00+00:00,2.2825214844,-0.0458610088,2.2366604756,0.2001159915,15,4,6,0.25,0.1,0.9,1,0.2001159915,5,96
2021-07-24 01:15:00+00:00,2.8415373535,-0.6067036776,2.2348336759,0.1993516414,15,4,6,0.25,0.1,0.9,1,0.1993516414,5,96
2021-07-24 01:30:00+00:00,3.2234355469000002,-0.9899872596,2.2334482873,0.18923991340000001,15,4,6,0.25,0.1,0.9,1,0.18923991340000001,5,96
2021-07-24 01:45:00+00:00,3.240107666,-1.0177754425,2.2223322235,0.18923991340000001,15,4,6,0.25,0.1,0.9,1,0.18923991340000001,5,96
2021-07-24 02:00:00+00:00,3.240107666,-1.0177754429,2.2223322231,0.1722769894,15,4,6,0.25,0.1,0.9,1,0.1722769894,5,96
2021-07-24 02:15:00+00:00,2.8693071289,-0.6579187324,2.2113883965,0.1722769894,15,4,6,0.25,0.1,0.9,1,0.1722769894,5,96
2021-07-24 02:30:00+00:00,2.3107927246,-0.09940432710000001,2.2113883975,0.1613116772,15,4,6,0.25,0.1,0.9,1,0.1613116772,5,96
2021-07-24 02:45:00+00:00,2.3706726074,-0.1592842102,2.2113883972,0.1596549384,15,4,6,0.25,0.1,0.9,1,0.1596549384,5,96
2021-07-24 03:00:00+00:00,2.2761791992,-0.0665606272,2.209618572,0.1596549384,15,4,6,0.25,0.1,0.9,1,0.1596549384,5,96
2021-07-24 03:15:00+00:00,2.6540034180000003,-0.4443848466,2.2096185714,0.1585455946,15,4,6,0.25,0.1,0.9,1,0.1585455946,5,96
2021-07-24 03:30:00+00:00,2.4292617187,-0.21964314910000002,2.2096185696,0.1511391805,15,4,6,0.25,0.1,0.9,1,0.1511391805,5,96
2021-07-24 03:45:00+00:00,2.3822097168,-0.17294153580000002,2.209268181,0.1474784613,15,4,6,0.25,0.1,0.9,1,0.1474784613,5,96
2021-07-24 04:00:00+00:00,2.3448054199,-0.1384087101,2.2063967098,0.1474784613,15,4,6,0.25,0.1,0.9,1,0.1474784613,5,96
2021-07-24 04:15:00+00:00,2.3464360352,-0.1410601323,2.2053759029,0.1451716495,15,4,6,0.25,0.1,0.9,1,0.1451716495,5,96
2021-07-24 04:30:00+00:00,1.7487330322,0.4556232684,2.2043563006,0.1428206473,15,4,6,0.25,0.1,0.9,1,0.1428206473,5,96
2021-07-24 04:45:00+00:00,1.9189227295,0.2844342395,2.203356969,0.1504143684,15,4,6,0.25,0.1,0.9,1,0.1504143684,5,96
2021-07-24 05:00:00+00:00,1.6293222656,0.5725992599,2.2019215255,0.1551549391,15,4,6,0.25,0.1,0.9,1,0.1551549391,5,96
2021-07-24 05:15:00+00:00,2.11965625,0.0853520681,2.2050083181,0.1551549391,15,4,6,0.25,0.1,0.9,1,0.1551549391,5,96
2021-07-24 05:30:00+00:00,1.750916748,0.4493737089,2.2002904569,0.15657747360000002,15,4,6,0.25,0.1,0.9,1,0.15657747360000002,5,96
2021-07-24 05:45:00+00:00,1.6760333252000001,0.5194191817,2.1954525069,0.1640670354,15,4,6,0.25,0.1,0.9,1,0.1640670354,5,96
2021-07-24 06:00:00+00:00,1.4858566895,0.7051740068,2.1910306963,0.17272402180000002,15,4,6,0.25,0.1,0.9,1,0.17272402180000002,5,96
2021-07-24 06:15:00+00:00,1.4779096680000001,0.7075931097,2.1855027777,0.1844769219,15,4,6,0.25,0.1,0.9,1,0.1844769219,5,96
2021-07-24 06:30:00+00:00,0.9054789429000001,1.2713189756,2.1767979185,0.19627014040000001,15,4,6,0.25,0.1,0.9,1,0.19627014040000001,5,96
2021-07-24 06:45:00+00:00,0.8549052124000001,1.3263432035,2.1812484159,0.19627014040000001,15,4,6,0.25,0.1,0.9,1,0.19627014040000001,5,96
2021-07-24 07:00:00+00:00,0.8019456787,1.3698638226,2.1718095013,0.2183758604,15,4,6,0.25,0.1,0.9,1,0.2183758604,5,96
2021-07-24 07:15:00+00:00,1.2691123047000001,0.8934543033000001,2.162566608,0.2412069241,15,4,6,0.25,0.1,0.9,1,0.2412069241,5,96
